what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356697867663
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356697888278
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356697907883
error,log,,,"Unable to execute dex: Multiple dex files define Lcom/google/android/gms/auth/GoogleAuthException;",1356697910375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356697910409
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356697912639
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356697922230
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356697947728
error,log,,,"Unable to execute dex: Multiple dex files define Lcom/google/android/gms/auth/GoogleAuthException;",1356697950075
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356697950110
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356697952119
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356697953998
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356697965916
activated,view,com.android.ide.eclipse.ddms,21.0.0.v201210310015-519525,"com.android.ide.eclipse.ddms.views.LogCatView",1356697970945
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1356697973175
error,log,,,"Unable to execute dex: Multiple dex files define Lcom/google/android/gms/auth/GoogleAuthException;",1356697975602
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356697975636
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356697983814
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356697987616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356763882308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356763887373
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356763889255
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1356763889298
error,log,,,"Exception while reading /google-play-services_lib/.classpath",1356763894657
error,log,,,"Exception while reading /google-play-services_lib/.classpath",1356763894659
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1356763894711
error,log,,,"Exception while reading /google-play-services_lib/.classpath",1356763894720
error,log,,,"Exception while reading /google-play-services_lib/.classpath",1356763894723
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1356763894725
error,log,,,"Exception while reading /google-play-services_lib/.classpath",1356763894735
error,log,,,"Unknown error: org.eclipse.core.internal.resources.ResourceException: File not found: D:\\BEProjectAndroidUI\\google-play-services_lib\\AndroidManifest.xml.",1356763894792
error,log,,,"Errors occurred during the build.",1356763894849
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356763894903
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356763898695
error,log,,,"Unable to execute dex: Multiple dex files define Lcom/google/android/gms/auth/GoogleAuthException;",1356763923366
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356763923404
error,log,,,"Exception while reading /google-play-services_lib/.classpath",1356763924120
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356763925776
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356763941870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356763943554
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1356763943562
error,log,,,"Exception while reading /google-play-services_lib/.classpath",1356763944984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356763973788
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356764057700
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356764060703
error,log,,,"Problems saving workspace",1356764062430
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1356764063376
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1356764064792
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1356764064857
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1356764064918
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1356764064958
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110819-0851,"org.eclipse.pde.runtime",1356764065147
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1356764065294
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1356764111806
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1356764111808
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1356764111815
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1356764111861
